Path;Fold
Brass/Bass_Tuba/ordinario/BTb-ord-F#1-pp-N-N.wav;2
Brass/Bass_Tuba/ordinario/BTb-ord-G1-pp-N-R100u.wav;4
Brass/Bass_Tuba/ordinario/BTb-ord-G#1-pp-N-T16u.wav;3
Brass/Bass_Tuba/ordinario/BTb-ord-A1-pp-N-T23d.wav;2
Brass/Bass_Tuba/ordinario/BTb-ord-A#1-pp-N-N.wav;0
Brass/Bass_Tuba/ordinario/BTb-ord-B1-pp-N-N.wav;1
Brass/Bass_Tuba/ordinario/BTb-ord-C2-pp-N-T13d.wav;1
Brass/Bass_Tuba/ordinario/BTb-ord-C#2-pp-N-N.wav;2
Brass/Bass_Tuba/ordinario/BTb-ord-D2-pp-N-T18u.wav;1
Brass/Bass_Tuba/ordinario/BTb-ord-D#2-pp-N-T11u.wav;0
Brass/Bass_Tuba/ordinario/BTb-ord-E2-pp-N-T25u.wav;1
Brass/Bass_Tuba/ordinario/BTb-ord-F2-pp-N-T25u_R100u.wav;3
Brass/Bass_Tuba/ordinario/BTb-ord-F#2-pp-N-T14u.wav;3
Brass/Bass_Tuba/ordinario/BTb-ord-G2-pp-N-N.wav;1
Brass/Bass_Tuba/ordinario/BTb-ord-G#2-pp-N-T16u.wav;0
Brass/Bass_Tuba/ordinario/BTb-ord-A2-pp-N-T15u.wav;0
Brass/Bass_Tuba/ordinario/BTb-ord-A#2-pp-N-N.wav;3
Brass/Bass_Tuba/ordinario/BTb-ord-B2-pp-N-T11d.wav;1
Brass/Bass_Tuba/ordinario/BTb-ord-C3-pp-N-T11d.wav;4
Brass/Bass_Tuba/ordinario/BTb-ord-C#3-pp-N-N.wav;2
Brass/Bass_Tuba/ordinario/BTb-ord-D3-pp-N-N.wav;2
Brass/Bass_Tuba/ordinario/BTb-ord-D#3-pp-N-N.wav;1
Brass/Bass_Tuba/ordinario/BTb-ord-E3-pp-N-N.wav;4
Brass/Bass_Tuba/ordinario/BTb-ord-F3-pp-N-N.wav;3
Brass/Bass_Tuba/ordinario/BTb-ord-F#3-pp-N-N.wav;4
Brass/Bass_Tuba/ordinario/BTb-ord-G3-pp-N-T14d.wav;3
Brass/Bass_Tuba/ordinario/BTb-ord-G#3-pp-N-N.wav;0
Brass/Bass_Tuba/ordinario/BTb-ord-A3-pp-N-N.wav;2
Brass/Bass_Tuba/ordinario/BTb-ord-A#3-pp-N-T13d.wav;4
Brass/Bass_Tuba/ordinario/BTb-ord-B3-pp-N-T14d.wav;0
Brass/Bass_Tuba/ordinario/BTb-ord-C4-pp-N-N.wav;4
Brass/Bass_Tuba/ordinario/BTb-ord-C#4-pp-N-N.wav;1
Brass/Bass_Tuba/ordinario/BTb-ord-D4-pp-N-N.wav;4
Brass/Bass_Tuba/ordinario/BTb-ord-D#4-pp-N-N.wav;4
Brass/Bass_Tuba/ordinario/BTb-ord-E4-pp-N-N.wav;4
Brass/Bass_Tuba/ordinario/BTb-ord-F4-pp-N-N.wav;4
Brass/Bass_Tuba/ordinario/BTb-ord-F#1-mf-N-T18u.wav;1
