,Spectrogram,Local_File_Path,Pitch,Note,Octave
0,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-F#1-pp-N-N.wav,F#1,F#,1
1,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-G1-pp-N-R100u.wav,G1,G,1
2,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-G#1-pp-N-T16u.wav,G#1,G#,1
3,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-A1-pp-N-T23d.wav,A1,A,1
4,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-A#1-pp-N-N.wav,A#1,A#,1
5,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-B1-pp-N-N.wav,B1,B,1
6,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-C2-pp-N-T13d.wav,C2,C,2
7,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-C#2-pp-N-N.wav,C#2,C#,2
8,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-D2-pp-N-T18u.wav,D2,D,2
9,"[[1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 ...
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]
 [1. 1. 1. ... 1. 1. 1.]]",/Users/monglels/Desktop/TinySOL/Brass/Bass_Tuba/ordinario/BTb-ord-D#2-pp-N-T11u.wav,D#2,D#,2
